status,severity,fileName,dbId,dbPath,diskPath,dbSize,diskSize,dbModifiedAt,diskModifiedAt,supplierOffers,rawProducts,note
db-file-missing-no-match,low,2024 KEBON Suit quotation.xlsx,30dbd800-741d-4407-88bb-556596c9022f,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/科邦/2024 KEBON Suit quotation.xlsx,,2933654,,2024-09-05T07:43:09.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,202411太阳能灯带报价表.xlsx,53ab1443-a3df-4822-8348-bbb796dbbfd0,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/虹宇/虹宇 202406/202411太阳能灯带报价表.xlsx,,25787,,2024-11-28T02:03:19.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2026全品类画册-CN.pdf,2997ecb9-5a97-465b-ac5b-cc02bad72fa6,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/科邦/2026全品类画册-CN.pdf,,17175273,,2026-03-26T06:08:29.750Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,2026全品类画册-EN.pdf,ecdeccbe-dc6d-40c3-8477-e144b05c58f7,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/科邦/2026全品类画册-EN.pdf,,19247166,,2026-03-31T08:39:40.920Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,220V-2835-10-240D-10IC.pdf,04e91c49-eb20-45c4-a8e3-242fcb69bb01,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/继续照明/继续广交会送样/测试报告/220V-2835-10-240D-10IC.pdf,,166537,,2024-09-20T09:13:16.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,220V-2835-10-240D-622 单排免驱.pdf,ac88e91b-c428-4faf-a126-8b9281758e58,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/继续照明/继续广交会送样/测试报告/220V-2835-10-240D-622 单排免驱.pdf,,167511,,2024-09-21T02:32:13.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,220V-2835-10MM-240-IC.jpg,572a5cb7-0acd-4f3e-a93a-d62a3b756201,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/继续照明/继续广交会送样/产品图片/产品图片/220V-2835-10MM-240-IC.jpg,,121914,,2024-09-24T07:31:39.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,220V-2835-10MM-240D 单排免驱.jpg,65207183-4b64-43f5-a534-592b178f695b,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/继续照明/继续广交会送样/产品图片/产品图片/220V-2835-10MM-240D 单排免驱.jpg,,1390859,,2024-09-24T07:36:53.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,220V-2835-11-120D-25R NW.pdf,ea63f213-5a2e-49c9-b59e-109768852e0e,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/继续照明/继续广交会送样/测试报告/220V-2835-11-120D-25R NW.pdf,,166174,,2024-09-20T09:12:51.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
db-file-missing-no-match,low,220V-2835-11MM-120D 2line.jpg,0177ce4b-b805-4170-927d-dc1058334294,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/灯带/继续照明/继续广交会送样/产品图片/产品图片/220V-2835-11MM-120D 2line.jpg,,113188,,2024-09-24T07:32:25.000Z,,0,0,DB file path is missing and no same filename/size candidate was found on disk.
